index,filename,poster,title,post
20,14574page120121213024248720196.html,/profiles/PHFHBA402BD2DLA/,"Cubimals for sale including dustbunny, greeterbot, de-imaginator plus some free ones!","I have the following cubimals for sale:

Dust bunny - 20k
Greeterbot - 20k
De-imaginator - 15k
Bureaucrats x 2 - 10k each (1 on hold)
juju's x 5 - 8k each
Sno-cone vendor x 2 - 8k each
Squid x 6 - 7k each

These ones I have for free:

batterfly x 5
chick x 7
piggy x 5
firefly  x 3
frog x 1
crab x 1
butterfly x 9

Please contact me here or in game. Thank-you. :) "
21,14593page120121213021131495999.html,/profiles/PHVN15TC3P62BI0/,Willing to trade an ICON for 8 emblems...,"I have all 11 icons...and I am looking to trade any one....or more...of them for 8 identical emblems...
So....if you are trying to make an icon of LEM...and you have 8 emblems...of Lem...I'll trade my icon for it...
That simple...
I'll do this for all 11 icons just claim them in this thread...and we can hood up online and make the trade...
Giddy Up...
Geaux Tigers!"
22,14609page120121213021328946582.html,/profiles/PHV1FD64TN92OA3/,selling Icons,"hey, guys. Is anybody interested in buying icons? 70 K each. For one's choice there are Lem, Humbaba, Spriggan, Alph and Zille"
23,14613page120121213025903291181.html,/profiles/PM13FQ40B60241T/,Street creator trophy piece - rare wood - top of the tree - anyone want to buy it?,"I have one, make an offer if you are interested. Am only interested in selling for a lot, otherwise it makes a cute and unusual decoration!"
24,14640page120121213025507405269.html,/profiles/PUVP6M2EH9G2Q22/,Looking to trade for emblem of Grendaline,"I need two more emblems of Grendaline.  Willing to swap Alph, Cosma, Pot, Zille, Friendly, Tii, or Lem."
25,14643page120121213025644629467.html,/profiles/PHFRJ945A3D2FMO/,Every Cubimal for sale except rook,"Rube - 325k :: 1 Left

Rook - 275K (sold)

Magic Rock - 90k :: 4 Left

Helga - 65k :: 5 Left

Gwen - 75k :: 3 Left

Uncle Friendly -65k :: 3 Left 

Yeti - 75k :: 4 Left

Sno Cone - 15k

Dustbunny - 15k

JuJu - 15k

Smuggler - 15k

Deimaginator - 15k

Bureaucrat - 15k

GreeterBot - 15k

Cactus - 9k

Squid - 9k

Online now :)"
26,14651page120121213024327828708.html,/profiles/PHVT6IU22J82T5T/,Will Trade Pot Icon for Food,"Make an offer.  I prefer awesome stew, meat tetrazinni, fortifying gruel or expensive grilled cheese."
27,14653page120121213031323240775.html,/profiles/PHF7FAIS10D205I/,Uncle Friendly for Sale,Unle Friendly for 60k. Please PM or mail me if you are interested.
28,14676page120121213020921415649.html,/profiles/PHFDLEJLI4D2JJF/,"Selling Grendaline, Alph and Pot Emblems",$5K each. 
29,14677page120121213031958593129.html,/profiles/PHFMLVE3U4D21QA/,Buying a 12 herb garden house.,"It seems like all the 12 herb garden houses are locked down pretty hard so I'm willing to pay the 1,500 to cover the 20% lost for selling a house and then put down 7,500 into your pocket after i buy the house for selling it to me. (so 9,000 in the end for you, willing to negotiate around the price). Post if your interested, thank you!"
30,14680page120121213030957647547.html,/profiles/PHVQ4RKB595294A/,cubminals for sale,"firefly x 2 (1,000)
deimaginator x 1 (10,000)
butterfly x 5 (500)
smuggler (8,000)
crab x 5 (2,000)
piggy x 5 (500)
chick x 7 (500)
cactus x 1 (8,000)
batterfly x 3 (3,000)
frog x 1 (1,000)
sno cone x 3 (5,000)

find me in game! "
31,14681page120121213023849129761.html,/profiles/PUV37NIDT7D21CK/,I'll trade you a Ludwig Wittgenstein Doll for any other doll you have.,I'll trade you a Ludwig Wittgenstein Doll for any other doll you have.
32,14683page120121213022002360704.html,/profiles/PHFVOT76B3D2HBI/,Trading Mab emblems for Humbada or Zille,"I need Humbada or Zille and have extra Mabs to trade. Message me if you're interested.

Jojo Bloom"
33,14694page120121213020825347611.html,/profiles/PUVNL8P6R7F26RP/,Want to buy Rube cubimal,If you are selling one please IM me. Thanks. :)
34,14695page120121213031901743545.html,/profiles/PM1HDTV02402DBO/,Trading Non-Humbaba Emblems for a Humbaba Emblems,"all humbaba emblems obtained.  Icon made.  Quest finished.

(happy new years) :)"
35,14697page120121213030924056743.html,/profiles/PUVE0KQ2J1I2385/,Sell Bureaucrat and Magic Rock Cubi,"Bureaucrat: 10k
Magic Rock: 100k

Please leave a message here or IM me in game"
36,14699page120121213022542270255.html,/profiles/PHFRJ945A3D2FMO/,looking for GNG,IM me with how much u want for one. Thanks!
37,14702page120121213025545466510.html,/profiles/PUVO62HJ4EE21A4/,"*sold, a long time ago even! :o *","http://www.glitch.com/realty/LIFSG7NGUBG2EKK/

^_^"
38,14712page120121213023317582741.html,/profiles/PHF9GL57H2D2A7P/,Trading Ayn Rand doll,Looking for Ludwig or Friedrich doll in return!
39,14717page120121213021207087558.html,/profiles/PUVGCJ2IDRG2HU6/,Win 15 unopened cubimal boxes!,"Win 15 unopened cubimal boxes.
Go to: www.glitch.com/groups/RUV21...
To have a chance to win!"
40,14718page120121213031300763541.html,/profiles/PUVGCJ2IDRG2HU6/,Hog-tied piggy for sale,If in intrest in buying go to: www.glitch.com/auctions/PUV...
41,14726page120121213025727676965.html,/profiles/PUVDD0P759G2EK1/,Selling Ayn Rand Doll,"100k

IM me (:"
42,14729page120121213031337324216.html,/profiles/PUVP2V409QH2DHU/,emblems for trade!!,"Hi there!! 
i currently have: 
2 spriggan
1 mab
1 pot
1 friendly

I would be willing to trade any of these for either zille or Humbaba. 
Please IM or inbox me!! thanks!!"
43,14736page120121213020557573082.html,/profiles/PUVBKN54PRE2VUI/,Cosma Icon available - Looking for an interesting trade,"So, a friend left the game and gave me an icon of Cosma as a gift. As I already have one, I thought I'd offer this one up for trade. What's your most interesting trade offer? Post it here!  I'll entertain offers of currants, but am really more interested in trading for it.

If I pick your offer, I'll meet you in game to make the trade. Thanks!"
44,14737page120121213021147470779.html,/profiles/PUVG3SFU9AG240I/,"19 10 different emblems for sale 4,500 c if you pick up","I have: 2 Frien, 3 Gren, 3 Lem, 2 Sprig, 2 Humb, 1 Zil, 1 Ti, 2 Mab, 2 Cosm, 1 Alph for sale only, not trade.

Don't IM me unless you've checked this whole thread--I will post to cancel when I'm no longer selling, for whatever reason.

5,000 c for each if I deliver."
45,14738page120121213020708818725.html,/profiles/PHF7FAIS10D205I/,"Bureaucrat, Greeterbot, Dustbunny, Smuggler for Sale","Bureaucrat (x5) 10k 
Greeterbot, Dustbunny, Smuggler 15k"
46,14740page120121213030957225513.html,/profiles/PHFI3TNVJTC297M/,Grendaline Icon For Sale,55k.  Please IM or answer in this thread.  TYVM.
47,14741page120121213030457815623.html,/profiles/PA9R9PS51GD2FHB/,Senor Fun Pickle - Want to Buy,Looking to buy.... contact me in game.... thanks!
48,14742page120121213030923759756.html,/profiles/PHFIU1P4P4D2PHL/,Want to Hire Party Organiser,"I need a party organiser. Who would you suggest?

Also, suggestions for fun doings would be appreciated."
49,14746page120121213030017803681.html,/profiles/PUV3GR3AI9D286E/,got extra alph emblems?,"ill take them off your hands! im willing to trade the emblems i have for alph emblems for an icon.

cosma 1
friendly 1
grendaline 1
mab 1
lem 1
pot 1
tii 1
spriggan 1
zille 1

message me if youd like to trade
 thanks!"
50,14749page120121213022114544200.html,/profiles/PHFN3R1L3UC2CLQ/,Emblems for Sale or Trade!,"I have the following emblems available. For sale at $4500 each, or trade for Zille emblems. Find me in-game to trade! :)

Friendly x 2
Humbaba x 2
Pot x 2
Lem
Grendaline
Mab
Tii
Spriggan
Alph"
51,14750page120121213031536791185.html,/profiles/PUVO62HJ4EE21A4/,Does anyone want to buy some wrappable gift boxes?,"I bought extra but now have no use for them and they're just cluttering up my backpack slots.

Come meet me in-game and we can discuss prices and what not.  Obviously I'm not looking for much as they were originally sold for very cheap.  =)"
52,14754page120121213022018929458.html,/profiles/PA9O6DO6PJD2CUH/,"House key trade - Need bog, have mansion","Hi, I would like to do some herb gardening and that silly eggplant quest. I would like to trade keys to get into a bog house for a couple of weeks. I have a mansion on Alakol, lots of animals, machines, 4 trees, and 28 plots - you can use/take whatever you like. Look for me in game.

Thanks!

SwiftReturn"
53,14757page120121213030817375324.html,/profiles/PHF7FAIS10D205I/,Wittgenstein for sale,Offers?
54,14768page120121213025106361160.html,/profiles/PUV4OLNP1FG2NT0/,Ludwig doll for sale :),"Goes to the highest bidder. 

:)"
55,14775page120121213031148048594.html,/profiles/PHFTAH6BPTC2AV3/,**Common to Semi-rare Cubimals for sale. Blind auction.**,"I thought this might be fun, so we'll see. Have the highest bid and get the cubi. Like e-bay, minimum bids apply. Send me froggy mail to keep it blind and assure your bid is remembered. 

**UPDATE** All cubimals have been sent to the winners via froggy-mail. Please remit agreed prices at your earliest convenience. Winning bids below. Hope you had fun!

4k minimum...
Squid = 10K
Sno-Cone Vendor = 12K
Cactus = 5K
Smuggler = 8.5K

No bids for other items received, though these got a fair amount of action...

Crab =0

500c minimum
Butterfly =0
Batterfly =0

10c minimum
pig =0
chick =0

Auction ends 1:30 p.m. PST (9:30 p.m. GMT) Tuesday, January 3. No late bids accepted. 

Froggy to Pancito"
56,14776page120121213031629733043.html,/profiles/PUVTV724F7D2G1V/,Selling Icon of Alph - 45k!,"Hello everyone, I'm selling one Icon of Alph and my asking price is 45k. 

Available:

Icon of Alph - 45k

I'm online now so IM me if you are interested or just leave a mail.

//Update: Sno Cone and Juju cubimals are gone now [they were 5k each]. Thank you for your purchases!"
57,14779page120121213030042031576.html,/profiles/PUVLHDN588F20SC/,Trading/Selling Fredrich Nietzsche Doll,Offer here.
58,14782page120121213023704199530.html,/profiles/PUV56VDAB7D2RRJ/,SWF Objects,"I have two SWF item and one white F item to sell.
I anyone is interested, send me a mail and I shall give it to that person for 50 currants.

If it's too pricey, then I think I can be lenient."
59,14785page120121213024310025113.html,/profiles/PUV6BSOJEUG2M64/,Cheap herbs for sale,"If you want herbs cheap go to Shimla Mirch herb gardens find Miss Purple, I sell very cheap herbs and you don't have to wait from an auction!

So far prices are:

5 purple flowers- 100c
3 gandlevery- 80c
Every time you make a purchase you will get a free raffle ticket, look up the forum called 3 awesome raffles are on!"
60,14789page120121213025339731551.html,/profiles/PUVBH4643SE2CDC/,Ludwig Wittgenstein Doll for bid! Ends Sat. 7th,"Just a few more days, so hurry up and place those bets!"
61,14792page120121213021838203938.html,/profiles/PA9L6LLR3QD2GUH/,disregard this for the one that says (auction),I posted another thread auctioning it off.
62,14793page120121213022339380119.html,/profiles/PHFRJ945A3D2FMO/,Emblems for sale, 5 Alph - 1 Cosma - 3 Friendly - 2 Grendaline - 2 Humbaba - 2 Lem - 3 Mab - 2 Pot - 2 Spriggan - 2 Tii - 1 Zille ::::::: 7K each
63,14794page120121213020644590830.html,/profiles/PUV6BSOJEUG2M64/,Sno cone and Juju cubimals for sale!,"I am having an auction for a sno cone and Juju cubimal:

If you would like to bid please list your name, which cubimal you would like and how much you would like to bid, minimum bid is 1000c thankyou, when I find an offer I like I will end auction!

Here is what I am looking for the bid to look like:
Miss Purple/Both/8000c
Joey/Juju/2500c

-Cheers, Miss Purple"
64,14795page120121213025231408887.html,/profiles/PUV6BSOJEUG2M64/,Random kindness sale!---CLOSED,"Miss Purple here, want to ask:

How much would people pay for 2 random kindness, almost full?"
65,14800page120121213024055677528.html,/profiles/PHFAFUBI3SC2NDQ/,looking to borrow the full set of Cubimals. Will give Collateral if you wish =),"Basically the title says it all =) just send a message or post of the forums if your able/willing! =D

I DO have maybe 130K that i've gathered as collateral if you don't like the idea of lending your cubimals to a stranger (As can only be excepted). Which I know isn't nearly enough to cover the costs, but I have NO intention of running away with your items, and all I really want is the fancy trophy anyway =)"
66,14803page120121213023317473325.html,/profiles/PHFSKQ90T0D20BV/,Dust bunnies for trade,"I have 2x dust bunnies. seeking likeminded individual who feels like they lack 1 or more dust bunnies in their life, possibly also likes walks on the beach. must be willing to trade for:

-1x dust bunny for 1x smuggler
-1x dust bunny for 1x juju + a little extra (potions, tinctures highly favored)

msg me! :)"
67,14807page120121213020918086268.html,/profiles/PUVL92I9TBG2H4O/,Magic Rock Cubimal for sale,Make me an offer.....
68,14809page120121213020901892655.html,/profiles/PUV6BSOJEUG2M64/,Anyone need party hosting?,"Hi, I'm Miss Purple and I own a group named King and queens of party time!
                                                             I:
Host parties, including drinks, food, freebies etc.!
All parties under 5000c!
You choose the location and guests!
I am easy to find!
I am polite and fun!

If you need a party host please post your name and price your offering and I'll get to you ASAP!
All prices must be over 1000c

-Cheers, Miss Purple!

P.S Please feel free to ask q's, don't feel silly because you don't know something!"
69,14812page120121213022931356726.html,/profiles/PCR45R93AUT1EMH/,Semi-rare CUBIMALS for sale,"I have the following cubimals for sale. I've listed a starting price for each (based on their rarity), but will also accept the best offer. Please post here or IM me if you're interested. I'll update the list as they are sold (or as I get new ones).

bureaucrat: 8,000 c
sno cone vendor (x3) : 8,000 c each 
juju (x4) : 9,000 c each
cactus (x2) : 9,000 c each
squid (x2) : 12,000 c
greeterbot : 18,000 c
deimaginator (x2) : 18,000 c each 
smuggler : 19,000 c

OR BEST OFFER: prices above are my initial offer based on what I think is fair, taking into account each cubimal's relative rarity as calculated in: http://www.glitch.com/forum/general/12170/. Cubimals above are listed in order from least rare to most rare."
70,14818page120121213025402271308.html,/profiles/PHVU76CKOT728S0/,"Selling Icons of Lem, Cosma and Zille. Can sell 1 of the icons for 53,000.","Read the title.
I would like around 60,000 but can negotiate. 
I will also consider trades. "
71,14822page120121213030114918989.html,/profiles/PUVV5SGE9KG2VAB/,cubimals,"i am selling some cubimals im me if interested.

deimaginator -15k
juju - 15k
chick - 500
crab - 500
cactus - 9k
batter fly - 500
butterfly- 500
pig- 500
firefly - 500
cubimals"
72,14823page120121213030622972767.html,/profiles/PHF8JE41AVC24OI/,Trade White SWF for Zille,"Got 2 SWF blocks, will trade for Zille emblems"
73,14824page120121213031101531036.html,/profiles/PA9M25F4OKD2ARI/,Need a Job,if you need a Job then go to hanmo hiss quarter 4434 and you could have the Job of an Restaurant on everyday and partys o fri sat sun you get paid 20 currant each from the money we make
74,14825page120121213031602144504.html,/profiles/PA9M25F4OKD2ARI/,Need a Job,if you need a Job then go to hanmo hiss quarter 4434 and you could have the Job of an Restaurant on everyday and partys o fri sat sun you get paid 20 currant each from the money we make
75,14833page120121213022718759801.html,/profiles/PA9169VVNPD2K44/,Selling Icon of Tii (Sold),"Asking 45k
Find me in game or reply here. Ty"
76,14834page120121213030630866371.html,/profiles/PCR1ITRI54U1MSS/,Looking to Share a Crop house.,"I live in Kalavana and love growing herbs for the herb business a friend and I run.... but I also love cooking so am looking for some kind glitch that will let me into their house to plant a few crops every now and then. In return they can plant herbs in my house whenever the want if there is a spare plot.

Think you can help me?"
77,14837page120121213025130292068.html,/profiles/PHF7FAIS10D205I/,Complete doll set for sale,"Complete doll set starting at 260k (by starting I don't mean bidding war, but that I am open to discussing a lower price if there isn't a lot of interest)."
78,14838page120121213020932122816.html,/profiles/PHFRJ945A3D2FMO/,327 Cubimals for sale,"So yeah... I know that there are a lot of people out there who like to make photos, parades, give gifts to new people, or whatever floats your boats regarding common cubimals. So I am auctioning off 327 Cubimals comprised of: 

Piggies - Chicks - Butterflys - Batterflys - Frogs - Crabs - Fireflys and Squids

----------------------------

Place your bid below. Thanks and good luck!"
79,14842page120121213030147634463.html,/profiles/PUV6BSOJEUG2M64/,Need party/catering planned or done?,"I'm Miss Purple and I cater and host parties for anyone that needs it, if you need catering or party hosting IM me or chat to me if you find me, all parties/catering under 5000c, I cook decorate etc. My costs are usually around 3000c-4000c, you can also post your name and location here, always get to me at least a day before the event, I will not host/cater for events that are that day, as times are different.

-Cheers, Miss Purple"
80,14843page120121213030633945658.html,/profiles/PHFN3R1L3UC2CLQ/,Looking for Zille Emblems - Will Buy or Trade,"Anyone have extra Zille emblems available? I'm willing to pay and/or trade any of the following:

Friendly x 3
Grendaline x 3
Mab x 4
Pot x 2
Lem x 3
Tii x 2
Spriggan x 3
Alph x 2

Friend & PM me or post here, please! :)"
81,14847page120121213020941970283.html,/profiles/PUV9IFV35CE2JRR/,Cubimals for sale! Including Smuggler and Greetbot!!,"smuggler x1  15k 
greeterbot x3 15k each
bureaucrat x2 10k each

also i have cactus, squid, crab, juju, and snocone vendor for 6k each or best offer."
82,14853page120121213031043977535.html,/profiles/PUV6BSOJEUG2M64/,"Hot new business, looking for customers and workers!","Hello, I am Miss Purple and I am the Boss of a business called, Bliss, at Bliss we:

Cater
Host
Garden
Guard
Tinker
Deliver
And much more, when ever you need!

Our prices are under 5000c!
We are trained and friendly!
We can host raffles at your orders!

If you would like to work at Bliss please join the group Bliss and post on message  board
If you would like services please post your name, what you need, if it's a delivery post your name, delivery and your price, we will get back to you!

If you need catering or party hosting please post at least a day before due, as times are different in different places we don't want to ruin your event because of a mix-up with times!

If you need guarding or gardening, please post your name and we will get to your house  ASAP, we cater/host and guard at the same time! tinkering is easy, send us the thing you need tinkered, we fix it, send it back! If you need gardening, post your name and address, we will get to your house ASAP! And tend anything that needs it!

Price list:
Parties and catering- around 2000c-4000c
Gardening- around 500c-1000c
Guarding- around 1000c
tinkering- around 500c
Deliveries- prices vary, nothing over 5000c!

If you want to join go to: http://www.glitch.com/groups/RHVGI60NTLK28R9/
We use EST so you can post on the day if it's EST"
83,14855page120121213024058944386.html,/profiles/PHV3J76JGS62RF5/,Selling: Cubimals,"Gwendolyn, Greeterbot, Smuggler, Sno Cone Vendor

Message me :) "
84,14861page120121213021828559673.html,/profiles/PHFPRQPJJ2D2NKI/,Semi Rare Cubimal(s) for Sale,"Magic Rock-80k
Greeterbot-15k
Smuggler- 10k

Plus a ton of assorted sno cone, squid, juju, deimaginator, bureaucrat, and cacti-5k each

 Contact me in-game to arrange for the trade.  

Thanks!"
85,14868page120121213030021054908.html,/profiles/PUVE44LM20K2BFG/,I would like to sell/trade... (Icon of Cosma),"I have an Icon of Cosma that I would like to sell for 50k (or best offer).
	Or... I would like to trade it for 10 of the same emblem.
-
EDIT: I am willing to trade the Icon for any other Icon."
86,14871page120121213030020882968.html,/profiles/PHFL2R7SI2D2U8A/,BUYING 2010 Glitchmas Yeti: 1.5million currants + full cubimal set + full doll set,Please contact me here or in game :)
87,14874page120121213031513313573.html,/profiles/PUV523LQFNF21ND/,pig,I have two extra pig cubimals anyone could have them both for a frog cubimal smuggler cubimal or a greeterbot cubimal
88,14876page120121213030540112839.html,/profiles/PUVHQ705HNF2VHR/,I'm trading my smugler cubimal for a greeterbot cubimal.SOLD! (you don't have to read this anymore),I only have one smugler cubimal so whoever posts first gets it.
89,14878page120121213030329188420.html,/profiles/PUVLHDN588F20SC/,Cubimals to sell,"To Sell:
Cactus--------6,000 -----  1 In Stock
Sno Cone Vendor-5,500 ----- 2 In Stock
Crab----200---------7 In Stock
Batterfly-0 ------- 6 In Stock
Butterfly-0 ------- 7 In Stock
Chick-0------- 6 In Stock
Pig-0 ------- 6 In Stock
Frog-0 ------- 4 In Stock
Squid-4,000------- 1 In Stock

IM me or Post here! I made the prices lower than original. I want to get these out immediatly.

I'm also gonna mail you, if you'd like. I shall pay for the money to send."
90,14883page120121213023036271853.html,/profiles/PUV2PCFUPSF2NBE/,.,.
91,14884page120121213022526357999.html,/profiles/PHF65G8J03D2ADA/,buying street creator trophies,Message me ingame. Looking to pay around 50k each piece.
92,14888page120121213031037256248.html,/profiles/PHVC70RF0C52KLS/,Send me your notes,"I collect notes because I hate seeing words disappear into the abyss.   

I can pay you for the postage, maybe something extra but I'm looking for real notes that were left in public spaces with a little info about where the note was left.   If you don't want to pick it up then a link to a screenshot will do.

History is important."
93,14890page120121213022441059651.html,/profiles/PUV6BSOJEUG2M64/,Anyone need rock from mining? Bliss is your biz!,"Bliss has been doing some mining and are taking orders for 100 rock from mining, if you want sparkly, beryl or metal please post your name and what rock you want, max is 100 rock, price is 1000c each 100 rock, comes with complimentary goodie!

-Cheers, Miss Purple

if you want to join Bliss go to: http://www.glitch.com/groups/RHVGI60NTLK28R9/"
94,14891page120121213021912122991.html,/profiles/PHV3NRCUSV72VTF/,"new service: send me 3 swf or red or white F blocks (of any variety), and i'll send you a flash-based MMO!","it can be any three blocks. It doesn't matter if they're all the same kind, and i'll return a mini-glitch game to you. 

best

-binro"
95,14892page120121213023235723191.html,/profiles/PUV6BSOJEUG2M64/,Emblems for sale,"I have 1 humbuba, Lem and Mab: 7k each"
96,14893page120121213023108627816.html,/profiles/PUV6BSOJEUG2M64/,Anyone need a FREE wedding planner?,"If you need a wedding planned I'm your gal, I can help with food, drinks and even say the mating talk!
Please post location here and date and time (EST)

-Cheers, Miss Purple"
97,14894page120121213021901134469.html,/profiles/PUVDAS4D40I245T/,Delete,Not worth the aggravation rofl.
98,14895page120121213024328110064.html,/profiles/PHVLQ8CSCB52UUB/,{DONE} Looking for: Spriggan's or Humbaba's Icons,"What I have: Currants and this for negotiation/ trade/ partial payment and all that good stuff.

IM me! if I'm in game, mail me, put a pig on my street with a name ""I got Spig for 50k u up?"" you get the message.

Name your price, best offer will be taken."
99,14898page120121213023550015278.html,/profiles/PHF7FAIS10D205I/,Cubimals for sale,"Bureaucrat - 11k
Greeterbot, Deimaginator - 17k
Juju, Cactus, Snocone - 7k
Squid - 5k
Dustbunny - 18k"
100,14900page120121213030910739216.html,/profiles/PCRA67IB8LL1MCE/,Selling GNG Musicblock :) ~SOLD~ Please delete :),"Looking to sell GNG musicblock.
Please mail or message me in game to discuss price/trades.
Thanks :)"
101,14903page120121213025620589142.html,/profiles/PA9UP7RCAUD2PD6/,Harvesters/Gardeners/Miners wanted,"I'll be doing a lot myself but if I do it all I'll be dead
Anyways I'm wanting to make lots of stuff for funs, anyways we won't be buying things unless neccisary like honey, but anyways im me in game or send me a mail or post here

And pay
Fun and some of the stuff made :)"
102,14911page120121213031830528638.html,/profiles/PHVQ8DODVS221VN/,Buying Emblems of Mab,"5,000 each. I need 9 more. Message me!"
103,14913page120121213021354846983.html,/profiles/PHVERH6QNU621I8/,Wanted to trade: 2x Emblems of Humbaba,"I'm looking for 2 Humbaba emblems,

What are you after? If you're looking for any of these I can do a straight trade with you - just IM me...
Pot
Cosma
Friendly, or
Lem

Cheers
Arietty"
104,14915page120121213021510031612.html,/profiles/PUVG3SFU9AG240I/,Emblems for Sale or Lease WAC,"Lem x1
Cosma x2
Alph x1
Spriggan x1
Zille x1
Humbaba x2
Grendaline x1
Pot x2
Friendly x1
Mab x2
Tii x3

I'll update this as they sell.  I'm at home in Andra, fooling around with potions and stuff. :) "
